direction,condition,model,soc_bin,mae,count
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.4-0.5,0.13924,70
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.5-0.6,0.17713,75
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.6-0.7,0.17693,97
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.7-0.8,0.17049,83
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.8-0.9,0.17543,110
cross_B_train_LG_test_PAN,C2_ocv_mean,mlp,0.9-1.0,0.18405,190
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.0-0.1,0.07242,11
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.1-0.2,0.06036,31
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.2-0.3,0.06499,50
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.3-0.4,0.07774,83
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.4-0.5,0.11724,70
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.5-0.6,0.13293,75
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.6-0.7,0.1454,97
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.7-0.8,0.15853,83
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.8-0.9,0.21365,110
cross_B_train_LG_test_PAN,C2_ocv_mean,patchtst,0.9-1.0,0.28372,190
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.0-0.1,0.0415,11
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.1-0.2,0.06469,31
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.2-0.3,0.06617,50
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.3-0.4,0.08189,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.4-0.5,0.16399,70
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.5-0.6,0.18513,75
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.6-0.7,0.22596,97
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.7-0.8,0.2438,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.8-0.9,0.28834,110
cross_B_train_LG_test_PAN,C3_ocv_dischg,gru,0.9-1.0,0.22462,190
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.0-0.1,0.02115,11
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.1-0.2,0.03856,31
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.2-0.3,0.03461,50
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.3-0.4,0.03975,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.4-0.5,0.06449,70
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.5-0.6,0.07024,75
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.6-0.7,0.07421,97
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.7-0.8,0.05149,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.8-0.9,0.0758,110
cross_B_train_LG_test_PAN,C3_ocv_dischg,linear,0.9-1.0,0.14088,190
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.0-0.1,0.19942,11
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.1-0.2,0.14,31
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.2-0.3,0.07456,50
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.3-0.4,0.03734,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.4-0.5,0.09023,70
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.5-0.6,0.14477,75
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.6-0.7,0.21093,97
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.7-0.8,0.25355,83
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.8-0.9,0.32317,110
cross_B_train_LG_test_PAN,C3_ocv_dischg,lstm,0.9-1.0,0.32377,190
cross_B_train_LG_test_PAN,C3_ocv_dischg,mlp,0.0-0.1,0.1807,11
